farmos_name,quantity_grams,stock_level,unit,expiry_date,quality,inventory_date,dominant_function,season_to_plant,qty_seeds_per_m2,data_source
Grape Vine (Chambourcin),,,,,,,edible,,,
Grapefruit,,,,,,,edible,,,
Green Manure Mix,,,,,,,green manure,,,
Guava,,,,,,,edible,,,
Guava (Hawaiian),,,,,,,edible,,,
Guava (Purple),,,,,,,edible,,,
Guava (Strawberry),,,,,,,edible,,,
Guava (Thai White),,,,,,,edible,,,
Gum (Peppermint),,,,,,,companion,,,
Hyssop,,,,,,,edible,,,
Ice Cream Bean,,,,,,,companion,,,
Jaboticaba,,,,,,,edible,,,
Jacaranda,10,1,bulk,Oct-26,B,,edible,,,
Jackfruit,,,,,,,edible,,,
Kale (Nero di Toscana),,0.5,sachet,Aug-27,G,,edible,,,
Kangaroo Paw,,,,,,,companion,,,
Kennedia Nigricans,,1,sachet,,G,,,,,
Kumquat,,,,,,,edible,,,
Lavender,,,,,,,companion,,,
Lavender - French,,,,,,,companion,,,
Lavender - True,,,,,,,companion,,,
Leek,,,,,,,edible,,,
Leek (Carentan 2),,0.5,sachet,Aug-26,G,,edible,,,
Lemon,,,,,,,edible,,,
Lemon Balm,,,,,,,edible,,,
Lemon Myrtle,,,,,,,companion,,,
Lemongrass,20,1,bulk,collected 10/2025,G,,edible,,,
Lettuce,,,,,,,edible,all year round,,
Lettuce (Mix),,0.5,sachet,Aug-27,G,,edible,all year round,,
Lettuce (Cos),,0.5,sachet,Aug-28,G,,edible,all year round,,
Lilly Pilly,35,1,bulk,,,,companion,,,
Linseed,,,,,,,green manure,,,
Liquidambar,10,1,bulk,COLLECTED 2024,B,,companion,,,
Longan,,,,,,,edible,,,
Luffa,,1,sachet,Dec-27,G,,companion,spring-summer,,
Lupin,,1,sachet,Dec-25,G,,companion,automn-winter,,
Macadamia,,,,,,,edible,,,
Malabar Chestnut,,,,,,,edible,,,
Mango,,,,,,,edible,,,
Marigold,,,,,,,companion,,,
Marigold (African),,0.5,sachet,Aug-26,G,,companion,,,
Marigold (French),,0.5,sachet,Aug-29,G,,companion,,,
Melaleuca (Generic),32,1,bulk,COLLECTED 11/25,B,,companion,,,
Melaleuca-White Feather Honey Myrtle (Decora),,,,,,,companion,,,
Melon,36,1,bulk,COLLECTED 2/26,G,,edible,,,
Millet,520,1,bulk,Nov-27,G,,green manure,all year round,,
Millet (White French),,,,,,,green manure,,,
Mint,,,,,,,edible,,,
Mulberry,,,,,,,edible,,,
Mulberry (Beenleigh Black),,,,,,,edible,,,
Mulberry (White),,,,,,,edible,,,
Mung Bean,37,1,bulk,Feb-26,G,,green manure,,,
Mustard (White Yellow),460,1,bulk,Dec-26,G,,,,,
Nasturtium,15,1,,COLLECTED 11/25,G,,companion,,,
Native Sarsaparilla,,,,,,,companion,,,
Nettle,,,,,,,companion,,,
Oat,185,1,bulk,Jun-27,G,,green manure,,,
Okra,66,1,bulk,COLLECTED 3/2025,B,,edible,,,
Olive,,,,,,,,,,
Olive (Kalamata),,,,,,,edible,,,
Onion,,,,,,,edible,,,
Onion (Red),,,,,,,edible,,,
Orach,,,,,,,edible,,,
Orange,20,1,bulk,COLLECTED 3/26,G,,edible,,,
Oregano,,,,,,,edible,,,
Pak Choi,,0.5,sachet,Aug-28,G,,edible,,,
Pak Choi,,2,sachet,COLLECTED 2/26,G,,edible,,,
Papaya,15,1,bulk,COLLECTED 24/25,,,edible,,,
Parsley (Italian),,1,sachet,Aug-29,G,,edible,all year round,,
Parsley (Moss Curled),,0.5,sachet,Aug-26,G,,edible,all year round,,
Parsnip (Hollow Grown),,0.5,sachet,Aug-26,G,,edible,all year round,,
Passionfruit,,,,,,,edible,,,
Passionfruit (Panama Gold),,,,,,,edible,,,
Pea,,,,,,,edible,,,
Pea-Snow,,,,,,,edible,,,
Pea-Snow (Yakumo),,1,sachet,Dec-26,G,,edible,automn-winter,,
Pea-Sugar Snap,,,,,,,edible,,,
